,username,adschool,result,degree,major,grad_major,grad_school,background,year,ap_time,country,GRE_AW,GRE,TF_S,TF,grad_gpa,grad_rank
3961,qwerte,UCSC,0,MS,CS,EE , BUPT,,16Fall,2015/12/20,美国,1,22,4,17,2.8,6
4148,2538752252@qq.c,UTD,1,MS,CS,EE , BUPT,,16Fall,2015/12/20,美国,1,22,4,17,2.8,6
2420,怎么又笑了,CMU,1,MS,CS,CS , PKU,,16Fall,2015/12/14,美国,1,26,5,23,7.775,6
703,karanbb,ebiz@CMU,0,MS,MIS,, ,,15Fall,2014/12/8,美国,1,22,4,17,7.775,6
2417,怎么又笑了,"CMU, Columbia",0,PhD,CS,CS , PKU,,16Fall,2015/12/15,美国,1,26,5,23,7.775,6
2415,怎么又笑了,UCSD,1,MS,CS,CS , PKU,,16Fall,2015/12/15,美国,1,26,5,23,7.775,6
2413,怎么又笑了,Gatech,0,MS,CS,CS , PKU,,16Fall,2016/1/15,美国,1,26,5,23,7.775,6
1448,konlzp,CMU,0,MS,CS,SCGY , USTC,西澳大学一次科研交流，一作tier-2已投,15Fall,2014/12/1,美国,1,22,4,17,10.925,6
591,Wilford,UCB,0,MS,MIS,Microelectronics , PKU,水paper+水实习,15Fall,2015/1/5,美国,2,29,4,21,3.05,6
589,Wilford,UCB,0,MS,MIS,Microelectronics , PKU,水paper+水实习,15Fall,2015/1/5,美国,2,29,4,21,3.05,6
4204,marcusgao,CMU,1,MS,CS,CS , THU,,16Fall,2015/12/15,美国,1.5,24,4,24,7.1,6
590,Wilford,CMU,0,MS,CS,, ,,15Fall,2015/1/15,美国,2,29,4,21,3.05,6
884,slxu,Stanford,1,PhD,CS,CS , USTC,,15Fall,2014/10/30,美国,1,19,4,22,3.725,6
2145,codingjam123,NEU,0,MS,CS,, ,,16Fall,2016/3/23,美国,1,10,4,10,7.1,6
2144,codingjam123,Wustl,0,MS,CS,, ,,16Fall,2016/3/23,美国,1,10,4,10,7.1,6
3635,levythu,MCDS@CMU,1,MS,CS,, ,,16Fall,2015/11/20,美国,1,32,6,23,10.475,6
1226,luang008,MIIS@CMU,1,MS,CS,automation , THU,Uchicago(TTIC) intern/1 paper submitted to NAACL2015,15Fall,2014/12/15,美国,1,23,2,17,8,6
2143,codingjam123,USC,0,MS,CS,, ,,16Fall,2016/4/5,美国,1,10,4,10,7.1,6
2142,codingjam123,Duke Pitt,0,MS,CS,, ,,16Fall,2016/4/5,美国,1,10,4,10,7.1,6
2141,codingjam123,OSU,0,MS,CS,, ,,16Fall,2016/4/6,美国,1,10,4,10,7.1,6
2140,codingjam123,NYU Poly,1,MS,CS,, ,,16Fall,2016/4/9,美国,1,10,4,10,7.1,6
3634,levythu,Columbia University,1,MS,CS,, ,,16Fall,2015/12/3,美国,1,32,6,23,10.475,6
2139,codingjam123,UTD,1,MS,CS,, ,,16Fall,2016/4/14,美国,1,10,4,10,7.1,6
2138,codingjam123,UFlorida,1,MS,CS,, ,,16Fall,2016/4/15,美国,1,10,4,10,7.1,6
3987,lxtlppl920,Brown University,1,PhD,CS,EE , Tsinghua University,"2 paper under review, no quite strong RL",16Fall,2016/1/1,美国,1,22,4,17,10.475,6
3986,lxtlppl920,Johns Hopkins University,1,PhD,CS,EE , Tsinghua University,,16Fall,2015/12/14,美国,1,22,4,17,10.475,6
1263,zhoujl10,brown,0,MS,CS,, ,,15Fall,2015/1/15,美国,2,26,4,24,8,6
1262,zhoujl10,MIIS@CMU,0,MS,CS,, 清华大学,,15Fall,2014/12/2,美国,2,26,4,24,8,6
3908,csddff,CMU INI,1,MS,CS,EE , THU,数学建模国家二等奖、ACM-ICPC陕西省邀请赛金奖、本校水项目、MSRA水实习,16Fall,2015/12/31,美国,1,36,4,19,7.1,6
3909,csddff,CMU ECE SE SV,1,MS,CS,, ,,16Fall,2015/12/1,美国,1,36,4,19,7.1,6
3914,linym012THU,CS@MITS@CMU,1,MS,CS,软件工程 , ,,16Fall,2015/12/5,美国,2,22,4,26,7.1,6
3199,zjlxwudan,UM-Madison,0,MS,CS,EE , THU,,16Fall,2015/12/15,美国,1,22,5,23,10,6
3195,zjlxwudan,Rice University,1,MS,CS,EE , THU,,16Fall,2016/1/31,美国,1,22,5,23,10,6
1449,konlzp,Yale,1,MS,CS,SCGY , USTC,,15Fall,2014/12/13,美国,1,22,4,17,10.925,6
1121,pacman,MCDS@CMU,0,MS,CS,, ,,15Fall,2014/11/27,美国,1.5,24,4,23,5.075,6
1122,pacman,NCSU,1,MS,CS,EE , USTC,,15Fall,2014/12/4,美国,1.5,24,4,23,5.075,6
1119,pacman,CGGT@UPenn,0,MS,CS,EE , USTC,,15Fall,2014/10/26,美国,1.5,24,4,23,5.075,6
1125,pacman,UCSB,0,MS,CS,EE , USTC,,15Fall,2014/12/8,美国,1.5,24,4,23,5.075,6
832,leyichm,CSE@UMich,1,混合,CS,Automation , THU,UCLA暑期科研，小牛腿，两篇顶会在投，亚洲超算比赛一等奖,15Fall,2014/12/15,美国,2,21,5,23,9.2,6
