,username,adschool,result,degree,major,TF,GRE,grad_major,grad_school,grad_gpa,grad_rank,background,year,ap_time,country
0,OneHeart,UPENN,AD无奖,MS,CS,,Verbal 94% Math 100% AW4.5,, ,  , 海本,,16Fall,2016-03-12,美国
1,perthblank,OSU,AD无奖,MS,CS,103,151+170,Software Eng , SEU,  3.53, 本科Top30 211,,16Fall,2016-01-05,美国
2,jigsaw_Becky,NYU POLY,AD小奖,MS,CS,105,331+3,EE , CQU,  85,,,16Fall,2015-12-10,美国
3,hochipun,NJIT,AD无奖,MS,CS,,,, ,  , 本科非211,,16Fall,2016-01-27,美国
4,U.S.A,State University of New York at Buffalo,Rej,MS,CS,82=R24+L20+S19+W19 (丢人的低分),308=V144+Q164+AW2.5 (丢人的低分),Materials Science & Engineering , 北京理工大学,  79/100(WES,3.01/4),,16Fall,2016-01-17,美国
5,aaaakristy,UCD,Rej,MS,CS,,,, ,  ,,,16Fall,2016-01-01,美国
6,JoeLee,usc,WaitingList,MS,CS,,,, ,  , 本科非211,,16Fall,2016-01-05,美国
7,JoeLee,usc,WaitingList,MS,CS,,,, ,  , 本科非211,,16Fall,2016-01-05,美国
8,ianhezy,NYU TANDON,AD小奖,MS,CS,,,Math , The Ohio State University,  , 海本,,16Fall,2016-04-20,美国
9,december633,CS@NYU,AD小奖,MS,CS,,,, ,  , 本科Top30 211,,16Fall,2016-01-19,美国
10,tcsoo_,NYU-POLY,AD小奖,MS,CS,96(s20),147+167+3.5,类似CE的专业 , ,  , 本科非211,,16Fall,2016-01-15,美国
11,Hellcat,OSU,AD无奖,MS,CS,98(19),328(3),CS , XJTU,  87.9, 本科Top30 211,,16Fall,2016-01-11,美国
12,liuyelei0621,UCI,Rej,MS,CS,,,, ,  ,,,16Fall,2015-12-08,美国
13,默默耕耘的小T,UCIrvine,Rej,MS,CS,,,, ,  , 本科：南大，浙大，复旦，上交,,16Fall,2015-12-14,美国
14,dalring_G,UCI,Rej,MS,CS,,,, ,  ,,,16Fall,2015-12-03,美国
15,daisy_zhou_kh,cs@uci,Rej,MS,CS,,,, ,  ,,,16Fall,2015-12-15,美国
16,阿童木,"UCI, RICE, SBU",Rej,MS,CS,,,, ,  , 本科Top15 211,,16Fall,2015-12-10,美国
17,673650096,UCI,Rej,MS,CS,,,SE , CQUPT,  , 本科非211,,16Fall,2015-12-12,美国
18,Liaeve,nyu-tandon,Rej,MS,CS,,,, ,  , 本科：南大，浙大，复旦，上交,,16Fall,2016-02-02,美国
19,小菜,NYU Tandon,Rej,MS,CS,,,, ,  , 本科非211,,16Fall,2016-01-13,美国
20,xbwboy,NYU Tandon,AD小奖,MS,CS,,,Computer Science , ,  , 海本,,16Fall,2016-01-07,美国
21,Liaeve,chicago,AD无奖,MS,CS,,,, zju,  psychology, 本科：南大，浙大，复旦，上交,,16Fall,2016-01-31,美国
22,ieijkd,UChicago,AD无奖,MS,CS,WAIVE,157+168+3.5,物理 , ,  3.66/4.0， 1/44, 本科Top15 211,一封强推,16Fall,2016-01-28,美国
23,安如画,"CS(S&E, Data Science, High Performance Computing)@USC",Rej,MS,CS,R27+L28+S20+W28 = 103,V150+Q170 = 320 + AW 3.0,, ,  3.39/4, 本科Top15 211,,16Fall,2015-12-12,美国
24,雨天不打伞,USC,Rej,MS,CS,,,, ,  , 本科Top15 211,,16Fall,2015-12-15,美国
25,673650096,ASU,Rej,MS,CS,,,SE , CQUPT,  , 本科非211,,16Fall,2015-11-27,美国
26,saeryn,UPenn,Rej,MS,CS,29+28+23+29=109,157+170+3.0,高分子材料与工程 , 清华,  84/100. 19/33, 本科：北大，清华，科大，中科院，特色学校牛专业,,16Fall,2016-03-13,美国
27,xinzhang1111,upenn,Rej,MS,CS,,,, ,  ,,,16Fall,2015-11-26,美国
28,chuqixiaozhu,George Washington University,Rej,PhD,CS,99 = 30R + 25L + 19S + 25W,"320 = 150V + 170Q, 3.0",CS , HQU,  3.32, 本科非211,3会议1期刊二作（EI）,16Fall,2016-01-19,美国
29,pettypeasant,ri@CMU,AD无奖,MS,CS,,,, ,  , 本科：南大，浙大，复旦，上交,,16Fall,2015-12-15,美国
30,goha111,UPenn,Rej,MS,CS,,,, ,  , 本科：北大，清华，科大，中科院，特色学校牛专业,,16Fall,2015-12-15,美国
31,brightyang,UT-Austin,Rej,MS,CS,,,, ,  , 本科Top15 211,,16Fall,2015-12-15,美国
32,qwerty940828,TAMU,AD无奖,MS,CS,,,, ,  , 本科Top15 211,,16Fall,2015-11-27,美国
33,翱翔天空的蜗牛,OSU,AD无奖,MS,CS,,,, SCUT,  , 本科Top30 211,,16Fall,2015-12-01,美国
34,astrid0221,cs@osu,AD无奖,MS,CS,,,, ,  , 本科Top30 211,,16Fall,2015-11-29,美国
35,mpgszhyh,OSU,AD无奖,MS,CS,,,通信工程 , BUPT,  , 本科Top30 211,,16Fall,2016-01-02,美国
36,yanghanyu1m3fd,CS@Rice,Rej,MS,CS,,,, ,  , 本科：南大，浙大，复旦，上交,,16Fall,2016-01-03,美国
37,ForeverZard,Rice,Rej,MS,CS,106(23),324+3,SE , CQU,  3.73/4 (89.2/100), 本科Top30 211,无牛推,16Fall,2015-12-15,美国
38,silence_shadow,Rice,Rej,MS,CS,,,, ,  ,,,16Fall,2015-12-08,美国
39,mondayjun,Rice,Rej,MS,CS,,,CS , BUPT,  , 本科Top30 211,,16Fall,2015-12-03,美国
40,zhiz21,Rice University,Rej,MS,CS,,,CS , SCU,  , 本科Top15 211,,16Fall,2016-01-16,美国
41,chenggg,rice,Rej,MS,CS,,,, ,  ,,,16Fall,2015-12-16,美国
42,yuyuyu0905,Rice,Rej,MS,CS,,,SE , UESTC,  3.4/4, 本科其他211,,16Fall,2016-01-03,美国
43,zhaotong0312,Rice,Rej,MS,CS,,,, bupt,  , 本科Top30 211,,16Fall,2016-01-01,美国
44,wangsiwei,stony brook,Rej,MS,CS,,,se , seu,  , 本科Top30 211,,16Fall,2015-11-30,美国
45,ShalynChin,SBU-Suny,Rej,MS,CS,,,, ,  ,,,16Fall,2015-12-13,美国
46,三千岚域丶,MS CS@SUNY-SB,Rej,MS,CS,,,, ,  , 本科非211,,16Fall,2015-12-10,美国
47,alfonsoxw,cs@stony brook,Rej,MS,CS,,,, ,  , 本科Top30 211,,16Fall,11.30,美国
48,673650096,SBU,Rej,MS,CS,,,SE , CQUPT,  , 本科非211,,16Fall,2015-11-26,美国
49,jigsaw_Becky,stony brook,Rej,MS,CS,105,331+3,EE , CQU,  85,,,16Fall,2015-11-29,美国
50,underdish,Stony Brook,Rej,MS,CS,,,, ,  ,,,16Fall,2015-12-15,美国
51,小菜,Stony Brook University,Rej,MS,CS,,,, ,  , 本科非211,,16Fall,2015-12-01,美国
52,ggoddawn,Stony Brook Univ. 石溪,Rej,MS,CS,95,154 170 3.0,EE , TW,  3.91 3%, 本科非211,無,16Fall,2015-11-30,美国
53,hahamty,UCSB,Rej,MS,CS,90,320,计算机科学 , 中山大学,  3.7/4.0, 本科Top15 211,无,16Fall,2015-12-15,美国
54,moeminato,ucsc,Rej,MS,CS,,,, ,  , 本科Top15 211,,16Fall,2016-01-01,美国
55,wangsiwei,ufl,AD小奖,MS,CS,,,se , seu,  , 本科Top30 211,,16Fall,2016-01-15,美国
56,zerodouble,UFL,AD小奖,MS,CS,,,, ,  ,,,16Fall,2016-01-05,美国
57,MrMussi,UFL,AD小奖,MS,CS,,,通信工程 , BUPT,  ,,,16Fall,2016-01-30,美国
58,仔仔同学等offer,UFL,AD小奖,MS,CS,,,CS , ,  , 本科其他211,,16Fall,2016-1-31,美国
59,clownxiao,UFL,AD小奖,MS,CS,,,SE , BUPT,  , 本科Top15 211,,16Fall,2016-01-08,美国
60,vision._.,Ufl,AD小奖,MS,CS,,,, ,  , 本科Top15 211,,16Fall,2016-01-06,美国
61,codingjam123,UFlorida,AD小奖,MS,CS,,,, ,  ,,,16Fall,2016-04-15,美国
62,雨天不打伞,UFL,AD小奖,MS,CS,,,, ,  ,,,16Fall,2015-12-31,美国
63,tsszh,Columbia,AD无奖,MS,CS,,,, ,  , 本科：北大，清华，科大，中科院，特色学校牛专业,,16Fall,2016-01-07,美国
64,reese007,Gatech,Rej,MS,CS,,,, ,  ,,,16Fall,2016-01-15,美国
65,cicitjut,UFL,WaitingList,MS,CS,,,, ,  , 本科非211,,16Fall,2016-02-01,美国
66,790037775,USC,WaitingList,MS,CS,,,, ,  ,,,16Fall,2015-11-30,美国
67,chrisjinjun1,UMN,AD无奖,PhD,CS,,,测绘工程 , 武汉大学,  , 本科Top30 211,,16Fall,2015-12-05,美国
68,靖海听潮,NYU Tandon,AD小奖,MS,CS,92,320,ECE , ,  , 本科：南大，浙大，复旦，上交,,16Fall,2015-12-20,美国
69,aaaakristy,USC,AD无奖,MS,CS,,,, ,  ,,,16Fall,2015-12-15,美国
70,wjq987564321,USC  & Rochester 半奖,AD无奖,MS,CS,101,150+170,自动化 , XJTU,  89, 本科Top15 211,,16Fall,2015-12-20,美国
71,qian927240,USC,AD无奖,MS,CS,,,Degital Media Technology , CUC,  , 本科其他211,,16Fall,2016-01-15,美国
72,billchen,OSU,AD无奖,MS,CS,,,IEEE , SJTU,  , 本科：南大，浙大，复旦，上交,,16Fall,2016-01-15,美国
73,helen14,osu,AD无奖,MS,CS,,,, ,  , 本科Top15 211,,16Fall,2015-12-30,美国
74,christina0410,OSU,AD无奖,MS,CS,,,, ,  , 本科Top30 211,,16Fall,2016-01-28,美国
75,codingjam123,UTD,AD无奖,MS,CS,,,, ,  ,,,16Fall,2016-04-14,美国
76,Echo_Crown,UCSD,AD无奖,MS,CS,,,, ,  , 海本,,16Fall,2015-12-15,美国
