,username,adschool,result,degree,major,TF,GRE,grad_major,grad_school,grad_gpa,grad_rank,background,year,ap_time,country
77,理致远,CS@Columbia,AD无奖,MS,CS,103,153+167+3,SE , NJU,  , 本科：南大，浙大，复旦，上交,C会Workshop一篇一作,16Fall,2015-12-16,美国
78,xbwboy,CS@NEU,AD无奖,MS,CS,,,Computer Science , UMC,  , 海本,,16Fall,2016-01-20,美国
79,hochipun,San Jose State University,Rej,MS,CS,,,, ,  , 本科非211,,16Fall,2016-01-28,美国
80,laurantmanaco,Columbia,AD无奖,MS,CS,,,, ,  , 本科：南大，浙大，复旦，上交,,16Fall,2015-12-07,美国
81,ForeverZard,Columbia,Rej,MS,CS,106(23),324+3,SE , CQU,  3.73/4 (89.2), 本科Top30 211,无牛推,16Fall,2015-12-02,美国
82,aaaakristy,Columbia U,Rej,MS,CS,,,, ,  ,,,16Fall,2016-01-01,美国
83,mondayjun,Columbia,Rej,MS,CS,,,CS , BUPT,  , 本科Top30 211,,16Fall,2015-12-02,美国
84,illc1991,Columbia U,Rej,MS,CS,N/A,316,Math , U of Waterloo,  3.6, 海本,,16Fall,2016-02-15,美国
85,790037775,NYU-tandon,Rej,MS,CS,,,, ,  ,,,16Fall,2015-12-10,美国
86,jiangyuan,NYU TANDON,Rej,MS,CS,,,, ,  ,,,16Fall,2016-01-05,美国
87,哈哈笑个傻,NEU,Rej,MS,CS,,,, ,  ,,,16Fall,2016-02-12,美国
88,vivienqqqq,NYU-tandon,AD小奖,MS,CS,104(S22),320+3.0,SE , NKU,  , 本科Top15 211,无牛推，两段实习，一段java工程师一个半月，一段data工程师5个月,16Fall,2016-01-22,美国
89,jiaowcg88,NYU Tandon,AD小奖,MS,CS,,150/170/3.0,pharmacy , wenzhou medical university,  3.8/4, 本科非211,,16Fall,2016-02-12,美国
90,christina0410,NYU Tandon,AD小奖,MS,CS,,,, ,  , 本科Top30 211,,16Fall,2016-02-07,美国
91,jiaowcg88,NYU Tandon,AD小奖,MS,CS,,150/170/3.0,pharmacy , wenzhou medical university,  3.8/4, 本科非211,,16Fall,2016-02-12,美国
92,dokolo,CS@NEU,AD小奖,MS,CS,104(22),326(156/170/3.0),BME , PKU,  3.15(5/13), 本科：北大，清华，科大，中科院，特色学校牛专业,佐治亚理工暑期科研实习,16Fall,2016-01-15,美国
93,silentsea,IUB,AD小奖,MS,CS,,,, ,  ,,,16Fall,2015-12-01,美国
94,CindyWen,CS@UChicago,AD无奖,MS,CS,104,127,, ,  3.8+, 本科：南大，浙大，复旦，上交,,16Fall,2016-01-26,美国
95,Sindy_,UCSD,AD无奖,MS,CS,110,325+3,CS , BIT + 海本,  3.7, 海本,hci方向ieee论文一作1篇，hci实验室项目2个,16Fall,2015-12-15,美国
96,astrid0221,cs@ucsd,AD无奖,MS,CS,,,IoT , BUPT,  , 本科Top30 211,,16Fall,2015-12-15,美国
97,Vigal,UCSD,AD无奖,MS,CS,,,EE , BUAA,  , 本科：北大，清华，科大，中科院，特色学校牛专业,,16Fall,2015-12-15,美国
98,zzw,cmu，ucsd,AD无奖,MS,CS,,,, ,  , 本科Top15 211,,16Fall,2015-12-15,美国
99,Aix,NEU,AD无奖,MS,CS,105,318,计算机科学与技术 , ,  84.3, 本科非211,,16Fall,2016-01-27,美国
100,609064231,NEU,AD无奖,MS,CS,,,, ,  , 本科Top30 211,,16Fall,2016-01-20,美国
101,荷叶,OSU,AD无奖,MS,CS,,,, ,  , 本科Top15 211,,16Fall,2016-02-15,美国
102,hypsm,OSU,AD无奖,MS,CS,,,CS , SJTU,  , 本科：南大，浙大，复旦，上交,,16Fall,2015-12-15,美国
103,大风糊一脸,CS@OSU,AD无奖,MS,CS,,,, ,  ,,,16Fall,2015-12-29,美国
104,JBY2016,Ohio State University,AD无奖,MS,CS,,,数学 , BUAA,  , 本科Top15 211,,16Fall,2015-12-15,美国
105,Xiangtian,Ohio State University,AD无奖,MS,CS,,,, ,  , 本科Top15 211,,16Fall,2015-12,美国
106,msj6185,OSU,AD无奖,MS,CS,98,,软件工程 , njupt,  , 本科非211,,16Fall,2016-04-14,美国
107,ab123dop,Upenn,AD无奖,MS,CS,,,, ,  , 本科Top15 211,,16Fall,2015-12-25,美国
108,datascientist1,CS@UWO,AD无奖,MS,CS,,,, ,  ,,,16Fall,2016-02-01,加拿大
109,determing,CS@USC,AD无奖,MS,CS,106,324+3.0,通信工程 , BUPT,  3.80, 本科Top30 211,通信领域 （一篇EI），一篇再投。,16Fall,2015-12-14,美国
110,90后的小奶粉,CS@USC,AD无奖,MS,CS,,,, ,  ,,,16Fall,2016-01-01,美国
111,qian927240,USC,AD无奖,MS,CS,,,, ,  ,,,16Fall,2016-01-15,美国
112,liuyelei0621,Rutgers,AD无奖,MS,CS,R29+L26+S23+W26=104,V152+Q168+AW3.5,SE , ,  3.5/4.0, 本科其他211,美赛二等奖+班加罗尔暑期实习,16Fall,2015-10-08,美国
113,Aix,NEU,AD无奖,MS,CS,105,318,计算机科学与技术 , ,  84.3, 本科非211,,16Fall,2016-01-27,美国
114,pengpengwei,NEU,AD无奖,MS,CS,,,software engineering , whu,  3.15, 本科Top15 211,,16Fall,2016-01-31,美国
115,dczmydc,U Chicago,AD无奖,MS,CS,R28 + L28 + S19 + W26 = 101,150+170+3.0,PHYS , FDU,  3.16/4, 本科：南大，浙大，复旦，上交,,16Fall,2016-01-28,美国
116,yzcaoye,NEU,Rej,MS,CS,105,322,, ,  90.88, 本科其他211,,16Fall,2015-11-22,美国
117,hochipun,NEU,Rej,MS,CS,,,CS , UIC,  2.92, 本科非211,,16Fall,2016-01-27,美国
118,sherman917,NYU-Tandon,Rej,MS,CS,,,, ,  , 本科非211,,16Fall,2015-12-15,美国
119,bentan_007,CS@NYU-tandon,Rej,MS,CS,91,317,CST , ,  3.79 WES, 本科非211,,16Fall,2015-12-31,美国
120,MrMussi,NYU Tandon,Rej,MS,CS,,,通信工程 , BUPT,  ,,,16Fall,2016-02-04,美国
121,yhy4567345,UCLA,Rej,MS,CS,,,, ,  , 本科Top30 211,,16Fall,2015-12-01,美国
122,astrid0221,cs @ ucla,Rej,MS,CS,,,, ,  , 本科Top30 211,,16Fall,2015-11-30,美国
123,jason_wang,UCLA,Rej,MS,CS,,,, ,  ,,,16Fall,2015-12-01,美国
124,comeon,UCLA,Rej,PhD,CS,,,, ,  , 本科：南大，浙大，复旦，上交,,16Fall,2015-12-15,美国
125,brightyang,UCLA,Rej,MS,CS,97,317,, ,  , 本科Top15 211,,16Fall,2015-12-01,美国
126,ssphia,UCLA,Rej,MS,CS,,,, ,  均分90, 本科非211,,16Fall,2015-11-27,美国
127,laurantmanaco,UCLA,AD无奖,MS,CS,,,, ,  , 本科：南大，浙大，复旦，上交,,16Fall,2015-11-30,美国
128,zzw,ucla,Rej,MS,CS,,,, whu,  , 本科Top15 211,,16Fall,2015-12-15,美国
129,december633,UCLA,Rej,MS,CS,,,, ,  , 本科Top30 211,,16Fall,2015-12-1,美国
130,minfan2out,"University of California, Los Angels",Rej,MS,CS,,,, ,  ,,,16Fall,2015-11-28,美国
131,wwxhero,UCLA,Rej,MS,CS,,,, ,  ,,,16Fall,2015-12-01,美国
132,liliman,"rej: CS@Columbia,UCLA, ad:CGGT@Upenn",Rej,MS,CS,,,CS , ,  , 本科：南大，浙大，复旦，上交,,16Fall,2016-01-01,美国
133,我们的永远,UAlberta,Rej,MS,CS,,,, ,  , 本科Top30 211,,16Fall,2016-01-11,加拿大
134,ps2che,UCDavis,Rej,MS,CS,,,, ,  ,,,16Fall,2016-01-14,美国
135,kenneth-AY,CSE@Gatech,Rej,MS,CS,,,, ,  , 本科：南大，浙大，复旦，上交,,16Fall,2016-01-15,美国
136,laurantmanaco,Cornell,AD无奖,MS,CS,,,, ,  , 本科：南大，浙大，复旦，上交,,16Fall,2015-12-25,美国
137,锦字难偶,Cornell,Rej,MS,CS,,,, ,  ,,,16Fall,2016-01-04,美国
138,CoolCapri92,Cornell,Rej,MS,CS,,,, ,  ,,,16Fall,2015-12-15,美国
139,shiyqw,UCLA,Rej,PhD,CS,,,, ,  ,,,16Fall,2015-12-01,美国
140,daiker,CMU,WaitingList,MS,CS,,,, ,  , 本科其他211,,16Fall,2015-11-15,美国
141,jzdaizeyu,TAMU,Offer,PhD,CS,waive,150+170+3.5,EE , SJTU,  3.7, 本科：南大，浙大，复旦，上交,,16Fall,2015-12-31,美国
142,xingsuo,UNC Charlotte,AD无奖,MS,CS,,,, ,  , 海本,,16Fall,2016-02-29,美国
143,zblzcj,UCSD,AD无奖,MS,CS,30 29 24 28 111,159 170 329,Civil Engineering , HKU,  3.9, 海本,,16Fall,2016-04-12,美国
144,zblzcj,UCSD,AD无奖,MS,CS,30 29 24 28 111,159 170 329,Civil Engineering , HKU,  3.9, 海本,,16Fall,2016-04-12,美国
145,yanghanyu1m3fd,MScAC@Toronto,AD无奖,MS,CS,,,, ,  , 本科：南大，浙大，复旦，上交,,16Fall,2016-01-03,加拿大
146,laurantmanaco,Upenn,AD无奖,MS,CS,,,, ,  , 本科：南大，浙大，复旦，上交,,16Fall,2015-12-25,美国
147,jacyjia,Upenn,AD无奖,MS,CS,,,, ,  , 海本,,16Fall,2016-01-15,美国
148,steveyang94,University of Pennsylvania,AD无奖,MS,CS,106(S23),155+170+4.0,CS , HIT,  93.3/100, 本科Top15 211,,16Fall,2015-12-04,美国
149,phisiart,UPenn,AD无奖,MS,CS,,,EE , THU,  , 本科：北大，清华，科大，中科院，特色学校牛专业,,16Fall,2016-03-15,美国
150,yhcbme,ucla,Rej,MS,CS,,,, ,  , 本科：南大，浙大，复旦，上交,,16Fall,2015-12-01,美国
151,怎么又笑了,UCLA,Rej,MS,CS,,,CS , PKU,  , 本科：北大，清华，科大，中科院，特色学校牛专业,,16Fall,2015-12-01,美国
152,jackmk,UCLA,Rej,MS,CS,,,, ,  , 海本,,16Fall,2015-12-15,美国
153,luosh5,CS@UCLA,Rej,MS,CS,,,SE , SYSU,  , 本科Top15 211,,16Fall,2015-11-25,美国
154,olivelihui,UCLA,Rej,MS,CS,,,, ,  , 海本,,16Fall,2015-11-30,美国
155,ab123dop,UCLA,Rej,MS,CS,,,, ,  , 本科Top15 211,,16Fall,2015-12-01,美国
156,lym953,UCLA,Rej,MS,CS,R29+L29+S20+W27=105,328(V158+Q170)+4.0,CS , XJTU,"  93.51/100, 3.92/4(WES), 1/137", 本科Top15 211,数学建模国家二等奖、ACM-ICPC陕西省邀请赛金奖、本校水项目、MSRA水实习,16Fall,2015-12-02,美国
157,shelly1996,cs@ucla,Rej,MS,CS,,,, ,  ,,,16Fall,2016-11-01,美国
158,musteryu,CS@UCLA,Rej,MS,CS,,,, ,  ,,,16Fall,2015-11-15,美国
159,我们的永远,NYU,Rej,MS,CS,,,, ,  , 本科非211,,16Fall,2016-01-11,美国
160,wnbaicai,NYU GSAS,Rej,MS,CS,,,, ,  , 本科Top30 211,,16Fall,11月,美国
161,jiaowcg88,NYU GSAS,Rej,MS,CS,,150/170/3.0,PS , ,  3.8/4, 本科非211,,16Fall,2016-01-29,美国
162,Victoria东方,NYU Tandon,Rej,MS,CS,,,, ,  ,,,16Fall,2016-02-12,美国
163,南方Giraffe,CSE@Gatech,Rej,MS,CS,,,, ,  ,,,16Fall,2016-11-20,美国
164,smilingsoul,NYUPoly,Rej,MS,CS,,,, ,  , 本科：南大，浙大，复旦，上交,,16Fall,2016-02-14,美国
165,Victoria东方,NYU Tandon,Rej,MS,CS,,,, ,  ,,,16Fall,2016-02-12,美国
166,alfonsoxw,nyu poly,Rej,MS,CS,,,, ,  ,,,16Fall,1-30,美国
167,popolee,NYU tandon,Rej,MS,CS,89,310,SE , ,  , 本科Top30 211,,16Fall,2016-02-15,美国
168,musteryu,CS@Columbia University,Rej,MS,CS,,,, ,  ,,,16Fall,2015-12-01,美国
169,ps2che,Columbia,Rej,MS,CS,,,, ,  ,,,16Fall,2016-01-15,美国
170,tsuruya,Columbia,Rej,MS,CS,105  (19),147/170/3.5,CS , 上海交通大学,  83.4, 本科：南大，浙大，复旦，上交,,16Fall,2015-12-30,美国
171,amanda9819,Columbia University,Rej,MS,CS,,,, ,  ,,,16Fall,2016-01-18,美国
172,lucien1227,Columbia,Rej,MS,CS,,,, ,  ,,,16Fall,2016-01-11,美国
173,yingbingwang,Columbia,Rej,MS,CS,,,, ,  ,,,16Fall,2016-02-14,
174,vivienqqqq,"Columbia , Upenn",Rej,MS,CS,,,SE , NKU,  , 本科Top15 211,,16Fall,2016-01-22,美国
175,Ciciright,"CS@Columbia IS,connective media @ Cornell Tech",Rej,MS,CS,98,319+3.5,CS , NJU,  , 本科：南大，浙大，复旦，上交,,16Fall,2016-03-04,美国
176,Jennifer15,Columbia University,Rej,MS,CS,,,, ,  ,,,16Fall,2016-04-12,美国
177,goha111,Columbia University,Rej,MS,CS,100(22),155 170 3.0,EE power , HIT Honor School,  90.4, 本科：北大，清华，科大，中科院，特色学校牛专业,,16Fall,2016-01-21,美国
178,仔仔同学等offer,Columbia,Rej,MS,CS,,,, ,  ,,,16Fall,2016-2-10,美国
179,yhcbme,Columbia,Rej,MS,CS,,,, ,  ,,,16Fall,2015-12-23,美国
180,JerryLi,CS@Columbia U,Rej,MS,CS,106,323,CS , BHU,  3.3,,,16Fall,2015-12-09,美国
181,an小淇,CS@Columbia,Rej,MS,CS,,,, ,  ,,,16Fall,2015-12-21,美国
182,Funky_QiQi,Columbia,Rej,MS,CS,,,, ,  , 本科Top15 211,,16Fall,2015-12-14,美国
183,我们的永远,Columbia,Rej,MS,CS,,,, ,  , 本科Top30 211,,16Fall,2016-01-11,美国
184,LeeHooray,Columbia,Rej,MS,CS,,,, ,  , 本科Top30 211,,16Fall,2015-12-04,美国
185,yanghanyu1m3fd,CS@Columbia,Rej,MS,CS,,,, ,  , 本科：南大，浙大，复旦，上交,,16Fall,2016-01-03,美国
186,vision._.,疙瘩,Rej,MS,CS,,,, ,  , 本科Top15 211,,16Fall,2016-01-04,美国
187,alfonsoxw,cs@columbia,Rej,MS,CS,,,, ,  ,,,16Fall,1-30,美国
188,wnbaicai,Columbia,Rej,MS,CS,,,, ,  , 本科Top30 211,,16Fall,11月,美国
189,jessiegao,Columbia,Rej,MS,CS,,,, ,  ,,,16Fall,2016-12-15,美国
190,sdlny,Columbia,Rej,MS,CS,28+29+26+28=111,149+170+3.5,SE , SEU,  3.67/4 2/110, 本科Top30 211,,16Fall,2016-01-13,美国
191,dalring_G,Columbia,Rej,MS,CS,,,, ,  ,,,16Fall,2016-01-15,美国
192,离人笑,Columbia,Rej,MS,CS,,,, ,  ,,,16Fall,2015-12-01,美国
193,FlynnWang,Columbia University,Rej,MS,CS,,,CS , HFUT,  , 本科其他211,,16Fall,2015-10-24,美国
194,wangsiwei,Columbia,Rej,MS,CS,,,se , seu,  , 本科Top30 211,,16Fall,2016-01-16,美国
195,daisynowhere,"Columbia, UCSD, Cornell, JHU",Rej,MS,CS,,,, ,  ,,,16Fall,2016-02-15,美国
196,timatim,UPenn,Rej,MS,CS,,157V+170Q=327,, ,  3.66, 海本,,16Fall,2016-01-22,美国
197,哈哈笑个傻,JHU,Rej,MS,CS,,,, ,  ,,,16Fall,2016-02-11,美国
198,Aloysia1225,JHU,Rej,MS,CS,29 26 22 27,150 170 3.5,软件工程 , ,  , 本科非211,,16Fall,2016-01-15,美国
199,苏缘Suyuan,JHU,Offer,MS,CS,30+24+23+29,320,软件工程/移动信息工程 , 中山大学,  3.5, 本科：南大，浙大，复旦，上交,,16Fall,2016-04-26,美国
200,Victoria东方,Brandeis University,AD小奖,MS,CS,,159+165+3.5,, ,  ,,,16Fall,2016-02-12,美国
201,hss,boston,AD无奖,MS,CS,,,, 北邮,  ,,,16Fall,2016-3-15,美国
202,underdish,usc,AD无奖,MS,CS,,,, ,  , 本科Top30 211,,16Fall,2015-12-01,美国
203,yingbingwang,Information Secuity,AD无奖,MS,CS,,,, ,  ,,,16Fall,2016-02-10,美国
204,lym953,Stanford,Rej,MS,CS,R29+L29+S20+W27=105,328(V158+Q170)+4.0,CS , XJTU,"  93.51/100, 3.92/4(WES), 1/137", 本科Top15 211,数学建模国家二等奖、ACM-ICPC陕西省邀请赛金奖、本校水项目、MSRA水实习,16Fall,2015-12-08,美国
205,h707705427,NYU GSAS,Rej,MS,CS,104,324 3.0,CS , ,  3.0, 本科非211,,16Fall,2016-01-16,美国
206,amanda9819,Stony Brook University-SUNY,Rej,MS,CS,,,, ,  , 本科Top30 211,,16Fall,2015-11-29,美国
207,李土它,USC,AD无奖,MS,CS,97 s22,153 170 3,IoT物联网 , 北邮BUPT,  83.1, 本科Top30 211,,16Fall,2016-01-14,美国
208,dongsgnod,Boston University,AD无奖,MS,CS,104,150+170+3.0,CS , ,  86.38, 本科Top15 211,,16Fall,2016-03-09,美国
209,kenneth-AY,"Data Science, High Performance@USC",Rej,MS,CS,,,, ,  , 本科：南大，浙大，复旦，上交,,16Fall,2015-12-20,美国
210,fluu,Ohio State | Oregon State | UIC,Rej,MS,CS,,,, ,  ,,,16Fall,2015-12-01,美国
211,tcsoo_,CS@UFL,AD小奖,MS,CS,,,类似CE的专业，算法OS数据结构这些基础课没学过 , ,  , 本科非211,,16Fall,2016-01-15,美国
212,lucien1227,UFL,AD小奖,MS,CS,,,, ,  ,,,16Fall,2016-01-15,美国
213,ywhust,UFL,AD小奖,MS,CS,94(19),152+164+3.0,工业工程 , 华中科技大学,  85/100, 本科Top15 211,,16Fall,2016-01-15,美国
214,fanta,Tandon,AD小奖,MS,CS,104(23),153+166+3,信息安全 , ,  3.39/4, 本科其他211,无,16Fall,2016-01-30,美国
215,zhiz21,NYU-POLY,AD小奖,MS,CS,95,319+3.0,CS , 四川大学,  3.25/3, 本科Top15 211,,16Fall,2016-01-28,美国
216,tonycy0,NYU Tandon,AD小奖,MS,CS,99(s22),147+170+3,EE , ,  3.04/4.00, 本科Top15 211,工作两年，Software Engineer,16Fall,2015-12-08,美国
